Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,1 mile,2 miles,3 miles,4 miles,5 miles,6 miles,7 miles,8 miles,9 miles,10 miles,11 miles,12 miles,Class,EAAA,EAMA,arrogance,bs,cad,cadg,chisqr,ec,psma
18,ThreeRobots,17,Male,Right,High School/GED,9 miles,3,7,8,10 %,0 %,0 %,10 %,5 %,0 %,35 %,0 %,15 %,10 %,5 %,0 %,20 %,Non-Solver,0.1111111111111111,-0.06666666666666668,0.10526315789473684,0.026388888888888892,-0.1733333333333334,0.0,0.5294311139361195,0.03166666666666666,0.1
17,ThreeRobots,29,Male,Right,College,10 miles,3,9,9,15 %,0 %,0 %,0 %,10 %,20 %,15 %,5 %,15 %,10 %,20 %,0 %,5 %,Solver,0.06944444444444442,0.26666666666666666,0.07142857142857144,0.010277777777777778,-0.1733333333333334,-0.4428571428571429,0.24276292335115865,-0.06499999999999995,0.2
16,ThreeRobots,22,Female,Right,College,6 miles,1,7,7,40 %,5 %,5 %,10 %,5 %,5 %,30 %,5 %,5 %,5 %,5 %,5 %,15 %,Non-Solver,0.09444444444444444,-0.16666666666666666,0.0,0.02041666666666667,-0.3733333333333334,-0.2,0.4085252382026576,0.2033333333333333,0.3
15,ThreeRobots,25,Male,Right,Graduate Degree,7 miles,1,9,8,5 %,5 %,5 %,10 %,10 %,5 %,5 %,15 %,15 %,5 %,5 %,15 %,5 %,Non-Solver,0.09166666666666667,-0.016666666666666663,0.0,0.019861111111111114,-0.3733333333333334,0.0,0.4291070093726641,0.10666666666666666,0.15
14,ThreeRobots,26,Male,Right,College,10 miles,9,2,3,70 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,5 %,10 %,70 %,10 %,5 %,Solver,0.08333333333333333,-0.2333333333333333,0.10958904109589042,0.010694444444444444,0.4266666666666665,0.15714285714285714,0.39,0.435,0.7
13,ThreeRobots,27,Male,Right,Graduate Degree,10 miles,10,2,5,85 %,0 %,0 %,0 %,0 %,5 %,0 %,0 %,0 %,5 %,85 %,5 %,0 %,Solver,0.075,-0.3833333333333333,0.10404624277456648,0.016388888888888887,0.5266666666666666,0.2571428571428571,0.2908016877637131,0.585,0.85
12,ThreeRobots,25,Female,Right,Graduate Degree,10 miles,10,2,4,90 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,10 %,80 %,10 %,0 %,Solver,0.08333333333333333,-0.33333333333333337,0.10975609756097562,0.015000000000000003,0.5266666666666666,0.2571428571428571,0.3605263157894737,0.5350000000000001,0.8
11,ThreeRobots,28,Male,Right,Graduate Degree,10 miles,6,3,6,80 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,85 %,5 %,5 %,5 %,0 %,Solver,0.1527777777777778,0.4166666666666667,0.3448275862068966,0.07944444444444444,0.1266666666666666,-0.1428571428571429,0.8696774193548388,-0.215,0.05
10,ThreeRobots,29,Male,Right,High School/GED,10 miles,3,6,7,30 %,0 %,0 %,5 %,5 %,5 %,20 %,10 %,10 %,10 %,30 %,5 %,0 %,Solver,0.04722222222222222,0.16666666666666669,0.054054054054054064,0.004444444444444445,-0.1733333333333334,-0.4428571428571429,0.12954451345755694,0.03500000000000003,0.3
9,ThreeRobots,36,Male,Right,Graduate Degree,10 miles,10,1,5,50 %,0 %,0 %,0 %,0 %,0 %,10 %,10 %,10 %,10 %,50 %,5 %,5 %,Solver,0.05000000000000001,-0.033333333333333326,0.16363636363636366,0.0034722222222222233,0.5266666666666666,0.2571428571428571,0.2386699507389163,0.23500000000000004,0.5
