Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Psolve,1 second,1000 seconds,1 minute,1000 minutes,1 hour,1000 hours,2000 hours,1000000 hours,Infinity,There is no way to know without additional information,Class,EAAA,EAMA,Objective Difficutly,Subjective Difficulty,arrogance,bs,cad,cadg,chisqr,ec,psma
A3G1ODAPIHRHUI,CR_Conf,51,Female,Right,College,There is no way to know without additional information,7,11-20%,0-10%,0-10%,0-10%,11-20%,31-40%,41-50%,41-50%,51-60%,51-60%,61-70%,Non-Solver,0.2866666666666667,-0.4,,,0.0821917808219178,0.11866666666666666,0.1433333333333333,0.12222222222222212,1.0080309950066983,0.35000000000000003,0.7
A3G5IPGLH1IIZN,CR_Conf,55,Female,Right,College,There is no way to know without additional information,1,11-20%,0-10%,0-10%,0-10%,11-20%,0-10%,11-20%,0-10%,0-10%,0-10%,0-10%,Non-Solver,0.1,0.2,,,0.0,0.012,-0.4566666666666666,-0.4777777777777778,0.2773809523809524,-0.2499999999999999,0.1
A3G85PECAGKPBK,CR_Conf,54,Female,Right,Graduate Degree,1000 minutes,5,31-40%,0-10%,0-10%,11-20%,11-20%,21-30%,21-30%,31-40%,41-50%,51-60%,61-70%,Non-Solver,0.24,-0.13333333333333336,,,0.14285714285714288,0.08333333333333334,-0.056666666666666636,-0.09999999999999998,0.7985010641532381,-0.01999999999999993,0.2
A3GF17EKYEJFZQ,CR_Conf,58,Female,Right,High School/GED,1 hour,1,11-20%,0-10%,0-10%,0-10%,11-20%,31-40%,21-30%,11-20%,0-10%,0-10%,11-20%,Solver,0.12000000000000002,-0.2,,,0.0,0.018000000000000006,-0.4566666666666666,-0.33333333333333337,0.33781385281385284,0.1166666666666668,0.4
A3GFGPPC495SPO,CR_Conf,38,Female,Right,College,1000 hours,3,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,51-60%,21-30%,Non-Solver,0.09666666666666666,-0.03333333333333334,,,0.10526315789473684,0.023000000000000003,-0.25666666666666665,-0.10000000000000003,0.2815113871635612,-0.1699999999999999,0.1
A3GIZ0VFD8CS47,CR_Conf,43,Male,Right,High School/GED,Infinity,8,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,21-30%,21-30%,Non-Solver,0.06666666666666668,-0.13333333333333333,,,0.1891891891891892,0.006000000000000001,0.2433333333333334,0.10000000000000007,0.17809523809523814,0.0066666666666667105,0.3
A3GO2JCV966XGE,CR_Conf,29,Male,Right,College,Infinity,6,51-60%,0-10%,0-10%,0-10%,21-30%,11-20%,0-10%,0-10%,0-10%,41-50%,51-60%,Non-Solver,0.12666666666666665,-0.33333333333333337,,,0.09090909090909093,0.028666666666666674,0.043333333333333335,-0.09999999999999998,0.3466233766233767,0.20666666666666672,0.5
A3GPYCHKB2KDLC,CR_Conf,55,Male,Right,Graduate Degree,1 hour,5,11-20%,0-10%,31-40%,11-20%,11-20%,11-20%,0-10%,0-10%,0-10%,0-10%,11-20%,Solver,0.10333333333333332,0.0,,,0.14285714285714288,0.019666666666666676,-0.056666666666666636,0.06666666666666665,0.3334615384615385,-0.0833333333333332,0.2
A3GUPOYHXOIQ6B,CR_Conf,27,Male,Left,Graduate Degree,1000 hours,5,51-60%,0-10%,0-10%,21-30%,31-40%,41-50%,51-60%,61-70%,51-60%,41-50%,31-40%,Non-Solver,0.32,-0.5333333333333333,,,0.06250000000000001,0.14533333333333334,-0.056666666666666636,0.09999999999999998,1.1888911088911092,0.3300000000000001,0.6
A3HE8VNBXD2BR0,CR_Conf,29,Male,Right,High School/GED,1 hour,3,31-40%,0-10%,0-10%,0-10%,11-20%,41-50%,0-10%,0-10%,0-10%,11-20%,21-30%,Solver,0.08666666666666666,-0.3,,,0.03636363636363637,0.014000000000000005,-0.25666666666666665,-0.13333333333333336,0.23818181818181824,0.2166666666666668,0.5
A3HEFFEBOZC50K,CR_Conf,35,Female,Right,Graduate Degree,Infinity,7,41-50%,31-40%,11-20%,11-20%,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver,0.13333333333333333,0.06666666666666665,,,0.3157894736842105,0.02800000000000001,0.1433333333333333,0.0,0.4445238095238096,-0.19333333333333327,0.1
A3HH7T31PFH49C,CR_Conf,34,Female,Right,Graduate Degree,1 hour,6,51-60%,0-10%,0-10%,11-20%,0-10%,51-60%,21-30%,11-20%,11-20%,0-10%,21-30%,Solver,0.13333333333333336,-0.4,,,0.078125,0.03066666666666667,0.043333333333333335,0.16666666666666666,0.4187662337662338,0.3166666666666668,0.6
A3HI6K8RIQ8A7X,CR_Conf,27,Male,Both hands are equally strong,Graduate Degree,1 minute,8,61-70%,11-20%,21-30%,51-60%,31-40%,21-30%,21-30%,21-30%,21-30%,11-20%,11-20%,Non-Solver,0.23,-0.4666666666666667,,,0.109375,0.06766666666666668,0.2433333333333334,0.25,0.8266233766233767,0.4133333333333333,0.6
A3HIZXUSZUQLYS,CR_Conf,32,Male,Right,College,There is no way to know without additional information,8,41-50%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,21-30%,11-20%,51-60%,Non-Solver,0.11666666666666667,-0.3,,,0.109375,0.024333333333333332,0.2433333333333334,0.2222222222222222,0.3667532467532468,0.2500000000000001,0.6
A3HL2LL0LEPZT8,CR_Conf,34,Male,Left,College,1 hour,1,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,11-20%,11-20%,Solver,0.09666666666666668,0.1,,,0.0,0.012333333333333337,-0.4566666666666666,-0.33333333333333337,0.2934199134199135,-0.1833333333333332,0.1
A3HLIJUBLECL5T,CR_Conf,27,Female,Right,College,1 minute,3,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver,0.07999999999999999,0.033333333333333326,,,0.10526315789473684,0.008666666666666666,-0.25666666666666665,-0.2500000000000001,0.2173809523809524,-0.08666666666666664,0.1
A3HMDGRGC5JB7E,CR_Conf,33,Female,Right,College,1 minute,2,11-20%,21-30%,11-20%,31-40%,31-40%,0-10%,31-40%,11-20%,31-40%,11-20%,21-30%,Non-Solver,0.21000000000000005,-0.2666666666666667,,,0.021739130434782608,0.06100000000000001,-0.35666666666666663,-0.35000000000000003,0.7919913419913421,0.21333333333333335,0.4
A3HV6WJ4V1625R,CR_Conf,59,Male,Right,Graduate Degree,1 minute,9,91-100%,0-10%,0-10%,61-70%,71-80%,61-70%,71-80%,61-70%,71-80%,61-70%,71-80%,Non-Solver,0.52,-0.5666666666666667,,,0.10958904109589042,0.32799999999999996,0.3433333333333334,0.35,1.9995042735042736,0.5133333333333333,0.7
A3HW4QDJB63OQ2,CR_Conf,29,Male,Right,College,There is no way to know without additional information,4,21-30%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,0-10%,0-10%,0-10%,0-10%,Non-Solver,0.07999999999999999,0.2,,,0.15789473684210525,0.009333333333333336,-0.15666666666666662,-0.1777777777777778,0.23071428571428576,-0.2499999999999999,0.1
A3HXM7BGH18FOW,CR_Conf,64,Female,Right,Graduate Degree,There is no way to know without additional information,1,0-10%,0-10%,0-10%,0-10%,11-20%,31-40%,51-60%,21-30%,0-10%,51-60%,71-80%,Non-Solver,0.2366666666666667,-0.5,,,0.0,0.08766666666666667,-0.4566666666666666,-0.4777777777777778,0.7418144174665915,0.4500000000000001,0.8
A3HZA5ZOPA298N,CR_Conf,24,Male,Right,College,1000 seconds,5,31-40%,11-20%,21-30%,21-30%,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver,0.14333333333333334,-0.26666666666666666,,,0.10810810810810813,0.026333333333333337,-0.056666666666666636,0.0,0.457960372960373,0.16666666666666666,0.3
A3I55L67X0MWC4,CR_Conf,52,Female,Right,Graduate Degree,There is no way to know without additional information,3,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,41-50%,41-50%,Non-Solver,0.10666666666666666,-0.2,,,0.03636363636363637,0.019333333333333338,-0.25666666666666665,-0.27777777777777785,0.2673809523809525,0.15000000000000008,0.5
A3I8HU3ZCHOROC,CR_Conf,28,Male,Right,Graduate Degree,1 hour,10,71-80%,0-10%,0-10%,21-30%,21-30%,71-80%,61-70%,41-50%,31-40%,11-20%,21-30%,Solver,0.27,-0.6000000000000001,,,0.10975609756097562,0.12366666666666665,0.44333333333333336,0.5666666666666667,1.0202363940407422,0.5166666666666668,0.8
A3ID4YTU6O6J4E,CR_Conf,26,Male,Right,College,2000 hours,7,11-20%,0-10%,0-10%,0-10%,11-20%,0-10%,11-20%,11-20%,11-20%,11-20%,0-10%,Non-Solver,0.11666666666666667,-0.16666666666666669,,,0.2142857142857143,0.017000000000000005,0.1433333333333333,0.0,0.3634199134199135,-0.03333333333333327,0.2
A3IEFYBAJDK48K,CR_Conf,30,Male,Right,Graduate Degree,Infinity,10,21-30%,0-10%,0-10%,11-20%,0-10%,51-60%,0-10%,0-10%,0-10%,21-30%,0-10%,Non-Solver,0.12,-0.13333333333333333,,,0.2432432432432433,0.025333333333333336,0.44333333333333336,0.30000000000000004,0.3157142857142857,0.0066666666666667105,0.3
A3IMB1JAMHP1KK,CR_Conf,35,Male,Right,High School/GED,There is no way to know without additional information,8,31-40%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,61-70%,Non-Solver,0.09666666666666664,-0.4,,,0.0958904109589041,0.02033333333333333,0.2433333333333334,0.2222222222222222,0.24056277056277064,0.35000000000000003,0.7
A3IO849YPKG09B,CR_Conf,46,Male,Right,College,There is no way to know without additional information,10,21-30%,0-10%,0-10%,0-10%,21-30%,21-30%,21-30%,11-20%,0-10%,31-40%,0-10%,Non-Solver,0.14666666666666667,0.2,,,0.4736842105263158,0.026666666666666672,0.44333333333333336,0.42222222222222217,0.4350954927425516,-0.2499999999999999,0.1
A3IU1F9KR74CLH,CR_Conf,36,Female,Right,College,Infinity,4,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,31-40%,Non-Solver,0.08,0.06666666666666665,,,0.15789473684210525,0.00866666666666667,-0.15666666666666662,-0.29999999999999993,0.2245238095238096,-0.19333333333333327,0.1
A3J0ZJRVD5882T,CR_Conf,25,Male,Left,Graduate Degree,There is no way to know without additional information,10,11-20%,0-10%,11-20%,11-20%,31-40%,41-50%,51-60%,61-70%,61-70%,41-50%,61-70%,Non-Solver,0.36,-0.4,,,0.12328767123287672,0.1733333333333333,0.44333333333333336,0.42222222222222217,1.329220779220779,0.35000000000000003,0.7
A3J2B1CXC671CE,CR_Conf,36,Male,Right,Graduate Degree,1000 minutes,7,11-20%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,0-10%,0-10%,11-20%,11-20%,Non-Solver,0.06666666666666668,-0.03333333333333334,,,0.3157894736842105,0.006000000000000001,0.1433333333333333,0.09999999999999998,0.18389610389610395,-0.11999999999999995,0.1
