Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,"BFRP, AUIE, GNDC","BFGP, AUIE, RNDC","AERP, BGCD, FUIN","CNRP, AGDS, EIOT","BNPR, ACDF, EIUG","ANPR, BCDF, EIUG",Class,EAAA,EAMA,arrogance,bs,cad,cadg,chisqr,ec,psma
18,LettersDice,17,Male,Right,High School/GED,"BNPR, ACDF, EIUG",10,4,6,0.4,0.1,0.2,0.15,0.05,0.4,0.1,Solver,0.10555555555555557,0.16666666666666666,0.1956521739130435,0.015462962962962963,0.3333333333333333,0.1470588235294118,0.16389162561576354,-0.0050000000000000044,0.4
17,LettersDice,29,Male,Right,College,"BNPR, ACDF, EIUG",10,4,5,0.7,0.0,0.05,0.15,0.05,0.7,0.05,Solver,0.08333333333333333,-0.1333333333333333,0.12328767123287672,0.012962962962962964,0.3333333333333333,0.1470588235294118,0.15654135338345865,0.29499999999999993,0.7
16,LettersDice,22,Female,Right,College,"BNPR, ACDF, EIUG",10,1,1,0.85,0.0,0.0,0.0,0.0,1.0,0.0,Solver,0.14444444444444446,-0.43333333333333335,0.09,0.042962962962962974,0.3333333333333333,0.1470588235294118,0.2765957446808511,0.595,1.0
15,LettersDice,25,Male,Right,Graduate Degree,"BNPR, ACDF, EIUG",1,3,7,0.05,0.15,0.15,0.15,0.15,0.2,0.2,Solver,0.15,0.36666666666666653,0.0,0.03351851851851852,-0.5666666666666668,-0.7529411764705882,0.2522885809842332,-0.205,0.2
14,LettersDice,26,Male,Right,College,"BNPR, ACDF, EIUG",5,4,7,0.7,0.3,0.0,0.0,0.0,0.7,0.0,Solver,0.06666666666666668,-0.1333333333333333,0.05479452054794521,0.006296296296296296,-0.16666666666666674,-0.3529411764705882,0.1111842105263158,0.29499999999999993,0.7
13,LettersDice,27,Male,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,5,8,0.5,0.2,0.05,0.05,0.05,0.5,0.15,Solver,0.05555555555555555,0.06666666666666665,0.16363636363636366,0.004074074074074075,0.3333333333333333,0.1470588235294118,0.07501040626040628,0.09499999999999996,0.5
12,LettersDice,25,Female,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,6,7,0.8,0.1,0.1,0.1,0.1,0.5,0.1,Solver,0.06666666666666668,0.06666666666666665,0.16363636363636366,0.006296296296296296,0.3333333333333333,0.1470588235294118,0.09875000000000002,0.09499999999999996,0.5
11,LettersDice,28,Male,Right,Graduate Degree,"ANPR, BCDF, EIUG",10,1,5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Non-Solver,0.32222222222222224,-0.9666666666666668,0.09,0.2207407407407407,0.3333333333333333,0.0,0.935483870967742,0.8716666666666667,1.0
10,LettersDice,29,Male,Right,High School/GED,"BNPR, ACDF, EIUG",10,2,4,0.6,0.2,0.0,0.0,0.0,0.6,0.2,Solver,0.06666666666666668,-0.033333333333333326,0.14062500000000006,0.007407407407407408,0.3333333333333333,0.1470588235294118,0.14461538461538465,0.19499999999999995,0.6
9,LettersDice,36,Male,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,1,5,0.6,0.3,0.05,0.05,0.05,0.5,0.05,Solver,0.04444444444444445,0.06666666666666665,0.16363636363636366,0.002407407407407407,0.3333333333333333,0.1470588235294118,0.0424404761904762,0.09499999999999996,0.5
