Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,1,2,3,4,8,10,16,60,Class,EAAA,EAMA,arrogance,bs,cad,cadg,chisqr,ec,psma
A3J85WP15JFYW0,MagicPotion,31,Male,Right,College,1,10,2,5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,Non-Solver,0.125,-0.5,0.16363636363636366,0.0625,0.2735294117647058,0.21666666666666667,0.5,0.2794117647058824,0.5
A2DWPP1KKAY0HG,MagicPotion,24,Male,Right,College,1,10,2,4,0.7,0.7,0.0,0.0,0.0,0.15,0.0,0.15,0.0,Non-Solver,0.125,-0.7,0.12328767123287672,0.06687499999999999,0.2735294117647058,0.21666666666666667,0.5,0.4794117647058823,0.7
A2ZLII4MLBHWR4,MagicPotion,27,Male,Right,Graduate Degree,1,8,3,1,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-Solver,0.125,-1.0,0.06999999999999999,0.125,0.07352941176470584,0.01666666666666672,0.5,0.7794117647058824,1.0
1532532,MagicPotion,22,Male,Right,Graduate Degree,4,7,6,8,0.4,0.05,0.1,0.1,0.4,0.35,0.0,0.0,0.0,Non-Solver,0.125,-0.4,0.13043478260869565,0.038125000000000006,-0.026470588235294246,0.1499999999999999,0.5,0.30000000000000004,0.4
A18TCR555RWUZV,MagicPotion,34,Male,Right,College,1,9,4,7,0.35,0.25,0.15,0.1,0.25,0.25,0.0,0.0,0.0,Non-Solver,0.125,-0.25,0.24615384615384614,0.0275,0.17352941176470582,0.1166666666666667,0.5,0.029411764705882387,0.25
A1JVWOBGNA6KJT,MagicPotion,54,Male,Right,High School/GED,1,9,4,3,0.6,0.6,0.05,0.05,0.05,0.25,0.0,0.0,0.0,Non-Solver,0.125,-0.6,0.12500000000000006,0.05375,0.17352941176470582,0.1166666666666667,0.5,0.3794117647058824,0.6
A1O5IL3N3G3WIL,MagicPotion,45,Female,Right,College,8,5,5,5,0.65,0.2,0.2,0.15,0.1,0.15,0.05,0.05,0.05,Non-Solver,0.11875000000000002,-0.15,0.17021276595744686,0.017812500000000002,-0.2264705882352942,-0.2533333333333334,0.4750000000000001,-0.28823529411764715,0.15
A1ROEDVMTO9Y3X,MagicPotion,50,Female,Left,College,8,8,8,3,0.4,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.0,Non-Solver,0.07500000000000001,-0.1,0.3684210526315789,0.006875000000000003,0.07352941176470584,0.046666666666666634,0.3000000000000001,-0.3382352941176471,0.1
A1RV2LERVS0A4H,MagicPotion,33,Female,Right,College,8,6,3,3,0.6,0.0,0.0,0.0,0.35,0.6,0.05,0.0,0.0,Non-Solver,0.125,-0.6,0.078125,0.060625,-0.12647058823529422,-0.15333333333333346,0.5,0.16176470588235287,0.6
A1WVNDH62P2UNZ,MagicPotion,26,Female,Right,High School/GED,8,7,3,2,1.0,0.0,0.0,0.0,0.0,0.75,0.1,0.05,0.1,Non-Solver,0.125,-0.75,0.07741935483870968,0.073125,-0.026470588235294246,-0.053333333333333455,0.5,0.3117647058823529,0.75
A21SF3IKIZB0VN,MagicPotion,73,Female,Left,Graduate Degree,8,9,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Non-Solver,0.125,-1.0,0.08,0.125,0.17352941176470582,0.1466666666666666,0.5,0.5617647058823529,1.0
A23BWWRR7J5XLS,MagicPotion,42,Male,Right,High School/GED,8,8,5,6,0.65,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,Non-Solver,0.125,-0.9,0.07692307692307693,0.1025,0.07352941176470584,0.046666666666666634,0.5,0.4617647058823529,0.9
A23KAJRDVCVGOE,MagicPotion,41,Male,Left,High School/GED,10,2,9,9,0.1,0.05,0.05,0.05,0.05,0.25,0.45,0.1,0.0,Non-Solver,0.125,-0.45,0.0198019801980198,0.035625000000000004,-0.5264705882352942,0.0,0.5000000000000001,0.3970588235294118,0.45
A2541C8MY0BYV3,MagicPotion,29,Male,Right,College,10,2,10,10,0.05,0.15,0.1,0.2,0.05,0.15,0.25,0.05,0.05,Non-Solver,0.125,-0.25,0.030769230769230767,0.020625,-0.5264705882352942,0.0,0.5000000000000001,0.19705882352941176,0.25
A270HX8LH9LJ8W,MagicPotion,38,Male,Right,Graduate Degree,8,6,5,5,0.5,0.05,0.1,0.1,0.15,0.5,0.05,0.05,0.0,Non-Solver,0.125,-0.5,0.09090909090909093,0.0375,-0.12647058823529422,-0.15333333333333346,0.5,0.06176470588235289,0.5
A2B2HQHFBYLTXU,MagicPotion,36,Male,Right,Graduate Degree,1,4,6,6,0.25,0.35,0.15,0.1,0.1,0.15,0.05,0.05,0.05,Non-Solver,0.125,-0.35,0.07228915662650602,0.024375,-0.3264705882352942,-0.3833333333333333,0.5,0.12941176470588234,0.35
A2GNG7DWHQA6ZZ,MagicPotion,34,Male,Right,Graduate Degree,8,9,2,3,0.85,0.0,0.0,0.0,0.15,0.85,0.0,0.0,0.0,Non-Solver,0.125,-0.85,0.09248554913294801,0.093125,0.17352941176470582,0.1466666666666666,0.5,0.4117647058823529,0.85
14,MagicPotion,26,Male,Right,College,3,5,7,6,0.4,0.05,0.05,0.4,0.25,0.25,0.0,0.0,0.0,Solver,0.125,-0.4,0.08695652173913045,0.03625,-0.2264705882352942,0.0,0.5,0.3397058823529412,0.4
A2VLTSW6CXIUMR,MagicPotion,44,Male,Right,High School/GED,8,7,3,4,0.75,0.0,0.0,0.0,0.1,0.8,0.05,0.05,0.0,Non-Solver,0.125,-0.8,0.07317073170731707,0.081875,-0.026470588235294246,-0.053333333333333455,0.5000000000000001,0.3617647058823529,0.8
A2YCMT5BPA0AG9,MagicPotion,50,Male,Right,College,1,6,6,5,0.3,0.25,0.05,0.1,0.15,0.45,0.0,0.0,0.0,Non-Solver,0.125,-0.25,0.15384615384615385,0.037500000000000006,-0.12647058823529422,-0.18333333333333332,0.5,0.029411764705882387,0.25
A2YWSSQEXXCRGK,MagicPotion,51,Female,Right,Graduate Degree,8,8,3,3,0.75,0.1,0.05,0.0,0.1,0.75,0.0,0.0,0.0,Non-Solver,0.125,-0.75,0.09032258064516127,0.073125,0.07352941176470584,0.046666666666666634,0.5,0.3117647058823529,0.75
A3ADVMXAYYYPD2,MagicPotion,42,Male,Right,Graduate Degree,16,10,1,1,0.65,0.0,0.0,0.0,0.0,0.45,0.05,0.5,0.0,Non-Solver,0.125,-0.5,0.16363636363636366,0.056875,0.2735294117647058,0.0,0.5,0.4544117647058824,0.5
A3C8NUIBNZYMT2,MagicPotion,30,Male,Right,College,1,6,3,7,0.7,0.5,0.1,0.05,0.05,0.05,0.05,0.1,0.1,Non-Solver,0.12500000000000006,-0.5,0.09090909090909093,0.03625,-0.12647058823529422,-0.18333333333333332,0.5000000000000001,0.2794117647058824,0.5
A3LLOANE52R4LT,MagicPotion,35,Male,Right,College,8,9,5,5,0.65,0.1,0.15,0.1,0.1,0.45,0.1,0.0,0.0,Non-Solver,0.125,-0.45,0.15841584158415842,0.033125,0.17352941176470582,0.1466666666666666,0.5000000000000001,0.0117647058823529,0.45
A3QLGMZOLGMBQ1,MagicPotion,51,Male,Right,Graduate Degree,1,8,3,3,0.75,0.9,0.05,0.0,0.0,0.0,0.0,0.0,0.05,Non-Solver,0.125,-0.9,0.07692307692307693,0.101875,0.07352941176470584,0.01666666666666672,0.5,0.6794117647058824,0.9
A3R5OJR60C6004,MagicPotion,45,Male,Right,College,8,8,4,4,0.6,0.0,0.05,0.15,0.15,0.6,0.05,0.0,0.0,Non-Solver,0.125,-0.6,0.109375,0.05125,0.07352941176470584,0.046666666666666634,0.5,0.16176470588235287,0.6
A3S1DILZ70PXC,MagicPotion,41,Female,Right,College,1,8,5,3,0.6,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,Non-Solver,0.125,-0.6,0.109375,0.065,0.07352941176470584,0.01666666666666672,0.5,0.3794117647058824,0.6
A3URLNXHLP4ARU,MagicPotion,47,Female,Right,Graduate Degree,8,5,5,8,0.5,0.1,0.05,0.05,0.05,0.5,0.0,0.1,0.15,Non-Solver,0.125,-0.5,0.07272727272727274,0.037500000000000006,-0.2264705882352942,-0.2533333333333334,0.5,0.06176470588235289,0.5
A4IH4CO046EV3,MagicPotion,40,Male,Right,College,2,10,1,8,0.1,0.0,0.1,0.1,0.25,0.4,0.1,0.05,0.0,Non-Solver,0.125,-0.1,0.4736842105263158,0.031875000000000014,0.2735294117647058,0.0,0.5,0.04852941176470588,0.1
AAQREZOK13OV7,MagicPotion,31,Male,Right,College,4,4,7,6,0.45,0.0,0.05,0.1,0.2,0.45,0.15,0.05,0.0,Non-Solver,0.125,-0.2,0.10714285714285716,0.035,-0.3264705882352942,-0.15000000000000002,0.5,0.10000000000000002,0.2
AFQ9W6WA8O9EH,MagicPotion,51,Female,Left,Graduate Degree,1,10,1,5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,Non-Solver,0.125,-0.5,0.16363636363636366,0.0625,0.2735294117647058,0.21666666666666667,0.5,0.2794117647058824,0.5
AN9MVFWRCF2OP,MagicPotion,29,Male,Right,College,8,9,2,4,0.9,0.0,0.0,0.0,0.1,0.75,0.15,0.0,0.0,Non-Solver,0.125,-0.75,0.1032258064516129,0.074375,0.17352941176470582,0.1466666666666666,0.5,0.3117647058823529,0.75
AY2U544TCVPMQ,MagicPotion,37,Male,Right,Graduate Degree,1,6,5,9,0.1,0.1,0.05,0.05,0.05,0.6,0.05,0.05,0.05,Non-Solver,0.125,-0.1,0.2631578947368421,0.048125,-0.12647058823529422,-0.18333333333333332,0.5000000000000001,-0.1205882352941176,0.1
AYW62R027PUT1,MagicPotion,44,Male,Right,College,8,9,2,3,0.6,0.2,0.0,0.0,0.1,0.6,0.0,0.1,0.0,Non-Solver,0.125,-0.6,0.12500000000000006,0.0525,0.17352941176470582,0.1466666666666666,0.5,0.16176470588235287,0.6
