Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Psolve,ABC,ACB,BCA,BAC,CAB,CBA,Class,EAAA,EAMA,Objective Difficutly,Subjective Difficulty,arrogance,bs,cad,cadg,chisqr,ec,psma
A110KENBXU7SUJ,Pills,46,Male,Both hands are equally strong,High School/GED,ABC,7,51-60%,21-30%,0-10%,0-10%,11-20%,0-10%,11-20%,Non-Solver,0.09999999999999998,0.0,,,0.16216216216216214,0.018148148148148142,0.07666666666666666,0.16666666666666674,0.17032967032967036,-0.029999999999999968,0.3
A2VFEDAK5C1E1O,Pills,38,Male,Right,High School/GED,ACB,10,41-50%,0-10%,41-50%,0-10%,0-10%,0-10%,0-10%,Solver,0.1111111111111111,-0.13333333333333336,,,0.16363636363636366,0.014814814814814815,0.3766666666666667,0.25454545454545463,0.13692307692307695,0.1033333333333334,0.5
A1NTZ2XCWWT6E5,Pills,35,Female,Right,College,ACB,8,61-70%,0-10%,21-30%,11-20%,0-10%,41-50%,21-30%,Solver,0.21666666666666665,0.06666666666666665,,,0.1891891891891892,0.06314814814814816,0.17666666666666675,0.05454545454545468,0.4503571428571429,-0.09666666666666662,0.3
AFLEU7YLJ3MMF,Pills,42,Male,Right,Graduate Degree,ACB,8,21-30%,51-60%,31-40%,61-70%,71-80%,61-70%,51-60%,Solver,0.4666666666666666,-0.03333333333333338,,,0.15217391304347827,0.2703703703703704,0.17666666666666675,0.05454545454545468,1.0656703597576116,0.0033333333333334107,0.4
A3P4253DFNPWIB,Pills,28,Male,Right,College,ABC,5,61-70%,31-40%,11-20%,0-10%,11-20%,11-20%,0-10%,Non-Solver,0.10000000000000002,-0.10000000000000003,,,0.08695652173913045,0.012592592592592593,-0.1233333333333333,-0.033333333333333215,0.12579185520361993,0.07000000000000006,0.4
A27NBGO9FXJS8Q,Pills,31,Male,Right,College,CAB,6,11-20%,0-10%,71-80%,41-50%,61-70%,31-40%,21-30%,Non-Solver,0.3666666666666667,-0.3666666666666667,,,0.10869565217391304,0.1448148148148148,-0.023333333333333317,0.0,0.7131043956043956,0.10000000000000007,0.4
A30VLAIIJIG5IS,Pills,53,Male,Right,Graduate Degree,CBA,4,61-70%,11-20%,0-10%,11-20%,0-10%,0-10%,31-40%,Non-Solver,0.18333333333333326,-0.3666666666666667,,,0.06521739130434782,0.044259259259259255,-0.22333333333333327,0.0,0.3441758241758241,0.10333333333333344,0.4
APRZ7BR8C0ZMQ,Pills,55,Male,Right,College,ABC,3,31-40%,51-60%,41-50%,31-40%,31-40%,21-30%,31-40%,Non-Solver,0.26666666666666666,-0.3,,,0.031250000000000014,0.07925925925925928,-0.3233333333333333,-0.23333333333333325,0.4991093117408908,0.27,0.6
A2YP22IYWPZWR0,Pills,29,Male,Right,College,BAC,3,21-30%,11-20%,31-40%,21-30%,0-10%,11-20%,0-10%,Non-Solver,0.12777777777777774,0.13333333333333333,,,0.10526315789473684,0.02203703703703704,-0.3233333333333333,-0.3428571428571429,0.22024844720496892,-0.2366666666666666,0.1
A3RI0ZY01U4UHF,Pills,25,Female,Right,College,ACB,7,11-20%,51-60%,61-70%,51-60%,71-80%,61-70%,61-70%,Solver,0.5166666666666666,-0.3333333333333333,,,0.0821917808219178,0.2887037037037037,0.07666666666666666,-0.04545454545454541,1.1170290554097853,0.3033333333333333,0.7
