Worker ID,Problem,Answer,box1,box2,box3,box4,box5,box6,Subjective Difficulty,Objective Difficutly,Class,Age,Confidence,EAAA,EAMA,Education,Gender,Psolve,Strong hand,arrogance,bs,cad,cadg,chisqr,ec,psma
0d4M8n7RA,SOKO2BOX,box3,0.0,0.1,0.75,0.15,0.0,0.0,6,6,Non-Solver,,,0.16666666666666666,-0.4166666666666667,,,,,,0.053240740740740734,,,0.3461538461538461,0.5266666666666667,0.75
0f3I6a0RA,SOKO2BOX,box1,0.9,0.1,0.0,0.0,0.0,0.0,10,10,Solver,,,0.18888888888888888,-0.5666666666666667,,,,,,0.0774074074074074,,,0.4135135135135135,0.6866666666666666,0.9
0I8c7G9EA,SOKO2BOX,box3,0.2,0.2,0.45,0.11,0.01,0.03,8,9,Non-Solver,,,0.09666666666666666,-0.1166666666666667,,,,,,0.01145185185185185,,,0.13180115080958113,0.2266666666666667,0.45
0J1l2A6RA,SOKO2BOX,box2,0.1,0.7,0.2,0.0,0.0,0.0,9,9,Non-Solver,,,0.2,-0.6,,,,,,0.0774074074074074,,,0.4211538461538461,0.4783333333333333,0.7
0u5E2D3WA,SOKO2BOX,box2,0.1,0.8,0.1,0.0,0.0,0.0,10,10,Non-Solver,,,0.23333333333333334,-0.7000000000000001,,,,,,0.1051851851851852,,,0.5145299145299146,0.5783333333333334,0.8
1G1x3J1pA,SOKO2BOX,box1,0.0,0.8,0.0,0.2,0.0,0.0,8,7,Solver,,,0.2777777777777778,0.3333333333333333,,,,,,0.12629629629629632,,,0.7222222222222222,-0.21333333333333332,0.0
1q7I3h0rA,SOKO2BOX,box1,0.5,0.1,0.1,0.1,0.1,0.1,10,6,Solver,,,0.1,-0.16666666666666669,,,,,,0.0162962962962963,,,0.14115384615384616,0.2866666666666666,0.5
1T1U4P6mA,SOKO2BOX,box3,0.1,0.3,0.5,0.1,0.0,0.0,8,6,Non-Solver,,,0.13333333333333333,-0.16666666666666669,,,,,,0.025185185185185185,,,0.2161538461538461,0.2766666666666667,0.5
2N4t6G6sA,SOKO2BOX,box1,0.7,0.0,0.15,0.0,0.0,0.15,10,10,Solver,,,0.1722222222222222,-0.36666666666666653,,,,,,0.03879629629629629,,,0.3414905450500556,0.4866666666666666,0.7
2p2z3A0zA,SOKO2BOX,box3,0.05,0.05,0.8,0.0,0.05,0.05,7,9,Non-Solver,,,0.17222222222222225,-0.4666666666666667,,,,,,0.053518518518518535,,,0.29886549937700835,0.5766666666666668,0.8
2p3c6s8CA,SOKO2BOX,box3,0.1,0.15,0.15,0.3,0.1,0.2,7,6,Non-Solver,,,0.1611111111111111,0.18333333333333326,,,,,,0.031574074074074074,,,0.2851663853387991,-0.0733333333333333,0.15
2Q0A5r8dA,SOKO2BOX,box1,0.3,0.0,0.05,0.3,0.3,0.05,2,2,Solver,,,0.13888888888888887,0.033333333333333326,,,,,,0.027685185185185184,,,0.2738773812000357,0.08666666666666664,0.3
2q9I6W6qA,SOKO2BOX,box1,0.05,0.3,0.2,0.05,0.2,0.2,10,7,Solver,,,0.14444444444444446,0.2833333333333333,,,,,,0.029907407407407407,,,0.2740824392998306,-0.16333333333333333,0.05
2U6v9I8wA,SOKO2BOX,box5,0.1,0.2,0.2,0.2,0.2,0.1,8,7,Non-Solver,,,0.12222222222222222,-0.033333333333333354,,,,,,0.018518518518518517,,,0.18100233100233104,0.08466666666666668,0.2
2V4a9k6xA,SOKO2BOX,box5,0.0,0.0,0.0,0.0,1.0,0.0,10,10,Non-Solver,,,0.2777777777777777,-0.8333333333333334,,,,,,0.1551851851851852,,,0.7142857142857142,0.8846666666666667,1.0
3b7s4m3MA,SOKO2BOX,box5,0.0,0.25,0.0,0.0,0.75,0.0,2,2,Non-Solver,,,0.2444444444444445,-0.5833333333333334,,,,,,0.09824074074074074,,,0.5844155844155845,0.6346666666666667,0.75
3D2e2a8zA,SOKO2BOX,box1,0.25,0.15,0.25,0.15,0.05,0.15,10,10,Solver,,,0.09444444444444444,0.08333333333333331,,,,,,0.009907407407407405,,,0.1393406593406593,0.03666666666666665,0.25
3E3T4B9zA,SOKO2BOX,box3,0.1,0.2,0.6,0.0,0.0,0.1,10,10,Non-Solver,,,0.15555555555555553,-0.26666666666666666,,,,,,0.029629629629629624,,,0.2842490842490842,0.3766666666666667,0.6
3i8g0v8jA,SOKO2BOX,box3,0.1,0.2,0.5,0.1,0.05,0.05,10,10,Non-Solver,,,0.11666666666666667,-0.16666666666666669,,,,,,0.01824074074074074,,,0.15589743589743588,0.2766666666666667,0.5
3K7p2H1LA,SOKO2BOX,box1,0.3,0.2,0.2,0.1,0.15,0.05,8,10,Solver,,,0.0611111111111111,0.033333333333333326,,,,,,0.005462962962962962,,,0.06298245614035088,0.08666666666666664,0.3
3l3p0e8OA,SOKO2BOX,box1,1.0,0.0,0.0,0.0,0.0,0.0,8,8,Solver,,,0.22222222222222224,-0.6666666666666667,,,,,,0.09962962962962964,,,0.5000000000000001,0.7866666666666666,1.0
3m2u8i3WA,SOKO2BOX,box2,0.1,0.7,0.1,0.0,0.1,0.0,10,10,Non-Solver,,,0.2,-0.6,,,,,,0.0796296296296296,,,0.39230769230769225,0.4783333333333333,0.7
3M4M7J5PA,SOKO2BOX,box3,0.1,0.3,0.0,0.6,0.0,0.0,9,7,Non-Solver,,,0.24444444444444444,0.3333333333333333,,,,,,0.0862962962962963,,,0.5761538461538461,-0.2233333333333333,0.0
3w5V8K3rA,SOKO2BOX,box5,0.1,0.0,0.2,0.7,0.0,0.0,10,10,Non-Solver,,,0.2111111111111111,0.16666666666666666,,,,,,0.08518518518518517,,,0.4744147157190635,-0.11533333333333334,0.0
