Worker ID,Problem,Answer,MM1,MM2,MM3,MM4,MM5,Subjective Difficulty,Objective Difficutly,Class,Age,Confidence,EAAA,EAMA,Education,Gender,Psolve,Strong hand,arrogance,bs,cad,cadg,chisqr,ec,psma
0d4M8n7RA,SOKOMM,MM3,0.0,0.05,0.75,0.2,0.0,6,6,Solver,,,0.15333333333333332,-0.38333333333333336,,,,,,0.0398888888888889,,,0.1680687471732248,0.39,0.75
0f3I6a0RA,SOKOMM,MM4,0.0,0.1,0.4,0.4,0.1,10,10,Non-Solver,,,0.026666666666666672,0.0,,,,,,0.0008888888888888897,,,0.023105590062111804,0.1216666666666667,0.4
0I8c7G9EA,SOKOMM,MM4,0.04,0.08,0.8,0.06,0.02,8,9,Non-Solver,,,0.17600000000000002,0.34,,,,,,0.0616888888888889,,,0.2256621639230336,-0.21833333333333327,0.06
0J1l2A6RA,SOKOMM,MM5,0.0,0.3,0.5,0.2,0.0,9,9,Non-Solver,,,0.12000000000000002,0.06666666666666668,,,,,,0.018222222222222226,,,0.12564102564102564,-0.11866666666666667,0.0
0u5E2D3WA,SOKOMM,MM4,0.05,0.3,0.5,0.1,0.05,10,10,Non-Solver,,,0.12666666666666665,0.30000000000000004,,,,,,0.027222222222222224,,,0.13516483516483518,-0.17833333333333332,0.1
1G1x3J1pA,SOKOMM,MM3,0.0,0.05,0.5,0.3,0.15,8,7,Solver,,,0.08666666666666667,-0.13333333333333336,,,,,,0.008555555555555558,,,0.06903096903096903,0.14,0.5
1q7I3h0rA,SOKOMM,MM3,0.1,0.7,0.1,0.1,0.0,10,6,Solver,,,0.2533333333333333,0.2666666666666666,,,,,,0.0982222222222222,,,0.4088571428571428,-0.26,0.1
1T1U4P6mA,SOKOMM,MM2,0.1,0.3,0.4,0.1,0.1,8,6,Non-Solver,,,0.12000000000000002,-0.16666666666666666,,,,,,0.02488888888888889,,,0.1427759197324415,0.10566666666666667,0.3
2N4t6G6sA,SOKOMM,MM3,0.0,0.1,0.8,0.1,0.0,10,10,Solver,,,0.17333333333333334,-0.4333333333333334,,,,,,0.0568888888888889,,,0.22285714285714286,0.4400000000000001,0.8
2p2z3A0zA,SOKOMM,MM4,0.0,0.0,0.2,0.8,0.0,7,9,Non-Solver,,,0.15999999999999998,-0.4,,,,,,0.04222222222222223,,,0.20784313725490194,0.5216666666666667,0.8
2p3c6s8CA,SOKOMM,MM4,0.05,0.1,0.1,0.25,0.5,7,6,Non-Solver,,,0.18,0.15000000000000002,,,,,,0.05655555555555556,,,0.26323206205559146,-0.028333333333333318,0.25
2Q0A5r8dA,SOKOMM,MM2,0.03,0.6,0.35,0.01,0.01,2,2,Non-Solver,,,0.18666666666666668,-0.4666666666666667,,,,,,0.07467555555555555,,,0.3551962000962625,0.4056666666666667,0.6
2q9I6W6qA,SOKOMM,MM3,0.1,0.2,0.1,0.3,0.3,10,7,Solver,,,0.14666666666666667,0.2666666666666666,,,,,,0.028888888888888888,,,0.1809090909090909,-0.26,0.1
2U6v9I8wA,SOKOMM,MM2,0.05,0.1,0.35,0.35,0.15,8,7,Non-Solver,,,0.04,0.033333333333333326,,,,,,0.002222222222222223,,,0.021933725189539142,-0.0943333333333333,0.1
2V4a9k6xA,SOKOMM,MM4,0.0,0.0,0.0,1.0,0.0,10,10,Non-Solver,,,0.24,-0.6,,,,,,0.10355555555555557,,,0.4285714285714286,0.7216666666666667,1.0
3b7s4m3MA,SOKOMM,MM1,0.4,0.2,0.15,0.15,0.1,2,2,Non-Solver,,,0.18666666666666668,-0.3666666666666667,,,,,,0.049888888888888885,,,0.2673764944732687,0.34800000000000003,0.4
3D2e2a8zA,SOKOMM,MM2,0.04,0.6,0.2,0.13,0.03,10,10,Non-Solver,,,0.1893333333333333,-0.4666666666666667,,,,,,0.06396888888888888,,,0.2490252906036136,0.4056666666666667,0.6
3E3T4B9zA,SOKOMM,MM4,0.0,0.2,0.7,0.1,0.0,10,10,Non-Solver,,,0.16,0.30000000000000004,,,,,,0.04222222222222223,,,0.19875,-0.17833333333333332,0.1
3i8g0v8jA,SOKOMM,MM3,0.0,0.15,0.1,0.45,0.3,10,10,Solver,,,0.11999999999999995,0.2666666666666666,,,,,,0.025888888888888885,,,0.16906035141329254,-0.26,0.1
3K7p2H1LA,SOKOMM,MM4,0.1,0.2,0.5,0.1,0.1,8,10,Non-Solver,,,0.12000000000000002,0.30000000000000004,,,,,,0.02355555555555556,,,0.12692307692307694,-0.17833333333333332,0.1
3l3p0e8OA,SOKOMM,MM4,0.0,0.1,0.4,0.5,0.0,8,8,Non-Solver,,,0.05333333333333333,-0.09999999999999998,,,,,,0.003555555555555555,,,0.05866114561766736,0.22166666666666668,0.5
3m2u8i3WA,SOKOMM,MM5,0.1,0.1,0.1,0.4,0.3,10,10,Non-Solver,,,0.11999999999999995,-0.2333333333333333,,,,,,0.026222222222222213,,,0.16948051948051945,0.1813333333333333,0.3
3M4M7J5PA,SOKOMM,MM3,0.1,0.2,0.5,0.2,0.1,9,7,Solver,,,0.10000000000000002,-0.13333333333333336,,,,,,0.013555555555555559,,,0.07025641025641027,0.14,0.5
3w5V8K3rA,SOKOMM,MM3,0.0,0.2,0.7,0.1,0.0,10,10,Solver,,,0.16,-0.3333333333333333,,,,,,0.04222222222222223,,,0.19875,0.34,0.7
3x3U2s8jA,SOKOMM,MM4,0.0,0.0,0.0,0.8,0.2,8,5,Non-Solver,,,0.21333333333333326,-0.4,,,,,,0.06622222222222222,,,0.36666666666666653,0.5216666666666667,0.8
4a7u2u4JA,SOKOMM,MM3,0.2,0.1,0.3,0.2,0.2,6,6,Solver,,,0.12000000000000002,0.06666666666666665,,,,,,0.018222222222222226,,,0.13190476190476194,-0.06,0.3
4G8M3K4PA,SOKOMM,MM3,0.0,0.3,0.6,0.1,0.0,5,6,Solver,,,0.16,-0.2333333333333333,,,,,,0.03555555555555556,,,0.200212201591512,0.24,0.6
4j6Q7y7UA,SOKOMM,MM4,0.1,0.3,0.2,0.2,0.2,10,6,Non-Solver,,,0.14666666666666667,0.2,,,,,,0.023555555555555555,,,0.139894419306184,-0.07833333333333331,0.2
4n9J6i0rA,SOKOMM,MM3,0.0,0.2,0.5,0.25,0.05,10,9,Solver,,,0.08000000000000003,-0.13333333333333336,,,,,,0.009222222222222224,,,0.0520879120879121,0.14,0.5
4r6p5l1RA,SOKOMM,MM4,0.0,0.0,0.0,0.4,0.6,8,8,Non-Solver,,,0.21333333333333326,0.0,,,,,,0.08755555555555555,,,0.48,0.1216666666666667,0.4
