Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,a1,a2,a3,a4,Class,EAAA,EAMA,arrogance,bs,cad,cadg,chisqr,ec,psma
A2EI9E6EBZEZO1,Traveler,38,Female,Right,College,a2,2,8,5,0.25,0.25,0.25,0.25,0.25,Solver,0.2,0.2833333333333333,0.030769230769230767,0.043611111111111114,-0.18000000000000005,-0.13124999999999992,0.19819048348130752,-0.08333333333333337,0.25
APS21FRK7TBKW,Traveler,47,Female,Right,College,a4,2,3,5,0.65,0.25,0.25,0.25,0.25,Non-Solver,0.2,0.11666666666666665,0.030769230769230767,0.043611111111111114,-0.18000000000000005,-0.2909090909090909,0.19819048348130752,-0.08000000000000003,0.25
A2IQ0QCTQ3KWLT,Traveler,48,Female,Right,High School/GED,a4,1,8,7,0.6,0.15,0.15,0.3,0.4,Non-Solver,0.1916666666666667,-0.03333333333333338,0.0,0.05402777777777777,-0.28,-0.390909090909091,0.21960859924804785,0.07,0.4
A2MWAXV1YRK5GH,Traveler,69,Female,Left,Graduate Degree,a4,5,9,9,0.5,0.0,0.3,0.0,0.7,Non-Solver,0.16666666666666666,-0.3333333333333333,0.05479452054794521,0.042777777777777776,0.11999999999999995,0.009090909090909037,0.13474999999999998,0.37,0.7
A3HOBJ4PJUOCUN,Traveler,59,Female,Right,High School/GED,a2,2,6,5,0.4,0.05,0.6,0.1,0.25,Solver,0.05833333333333333,-0.06666666666666665,0.015625000000000003,0.00486111111111111,-0.18000000000000005,-0.13124999999999992,0.017996820349761522,0.2666666666666666,0.6
A1DS0M9DLHAISJ,Traveler,38,Female,Right,College,a2,7,7,9,0.25,0.25,0.5,0.25,0.0,Solver,0.2,0.033333333333333326,0.10909090909090907,0.05402777777777777,0.3199999999999999,0.36875,0.31978428043543394,0.16666666666666666,0.5
AAASQIW3J32OL,Traveler,58,Female,Right,College,a4,7,4,4,0.65,0.05,0.25,0.05,0.65,Non-Solver,0.15000000000000002,-0.2833333333333334,0.0875912408759124,0.04027777777777779,0.3199999999999999,0.209090909090909,0.0935791519258558,0.32,0.65
yijmma,Traveler,33,Male,Right,College,a4,5,4,5,0.25,0.25,0.4,0.15,0.2,Non-Solver,0.14999999999999994,0.16666666666666666,0.14285714285714288,0.024861111111111108,0.11999999999999995,0.009090909090909037,0.13290239172592114,-0.13,0.2
A1M7G9KKXWH76A,Traveler,48,Male,Right,College,a4,1,5,3,0.5,0.5,0.1,0.1,0.3,Non-Solver,0.25,0.06666666666666665,0.0,0.10277777777777776,-0.28,-0.390909090909091,0.3590789473684212,-0.030000000000000027,0.3
A2APG8MSLJ6G2K,Traveler,69,Female,Right,College,a3,2,8,5,0.5,0.25,0.25,0.25,0.25,Non-Solver,0.2,-0.18333333333333332,0.030769230769230767,0.043611111111111114,-0.18000000000000005,-0.10000000000000003,0.19819048348130752,0.07166666666666667,0.25
AB2GND2ZHOCOT,Traveler,29,Female,Right,Graduate Degree,a4,8,4,5,0.9,0.0,0.1,0.0,0.9,Non-Solver,0.2666666666666667,-0.5333333333333334,0.07692307692307693,0.11944444444444448,0.42,0.3090909090909091,0.31052631578947376,0.5700000000000001,0.9
A3PDTUA1YLJTMC,Traveler,43,Male,Right,College,a2,6,6,7,0.65,0.0,0.65,0.25,0.1,Solver,0.15,-0.1166666666666667,0.072992700729927,0.029861111111111113,0.21999999999999992,0.26875000000000004,0.1516784920046595,0.31666666666666665,0.65
A2O2Y99RA9GFUJ,Traveler,64,Male,Right,College,a2,6,7,8,0.55,0.1,0.7,0.15,0.05,Solver,0.15833333333333333,-0.16666666666666666,0.0684931506849315,0.034861111111111114,0.21999999999999992,0.26875000000000004,0.1642869022869023,0.3666666666666666,0.7
AFM65NU0UXIGP,Traveler,31,Male,Right,High School/GED,a4,9,3,5,0.75,0.1,0.1,0.05,0.75,Non-Solver,0.225,-0.38333333333333336,0.1032258064516129,0.08486111111111111,0.52,0.40909090909090906,0.2318987767927281,0.42,0.75
A1TLNLB9D87H6,Traveler,35,Female,Left,College,a2,1,10,10,0.15,0.25,0.25,0.25,0.25,Solver,0.2,0.2833333333333333,0.0,0.043611111111111114,-0.28,-0.23124999999999996,0.19819048348130752,-0.08333333333333337,0.25
200600666,Traveler,31,Male,Left,Graduate Degree,a2,1,6,1,0.8,0.0,0.2,0.2,0.6,Solver,0.18333333333333332,0.3333333333333333,0.0,0.04611111111111112,-0.28,-0.23124999999999996,0.15391849529780566,-0.13333333333333336,0.2
A2EEP8D4MRUIRZ,Traveler,30,Male,Right,High School/GED,a2,3,6,6,0.0,0.05,0.35,0.05,0.55,Solver,0.10000000000000002,0.18333333333333332,0.04819277108433735,0.016944444444444456,-0.08000000000000007,-0.031249999999999944,0.040215633423180616,0.01666666666666661,0.35
A3DHAM13WLSE9V,Traveler,23,Male,Right,High School/GED,a2,1,5,5,0.2,0.35,0.5,0.05,0.1,Solver,0.15833333333333333,0.033333333333333326,0.0,0.04319444444444444,-0.28,-0.23124999999999996,0.20871568823882986,0.16666666666666666,0.5
A1SIUJEL2LS8UO,Traveler,31,Male,Right,College,a2,5,3,4,0.25,0.15,0.5,0.15,0.2,Solver,0.1,0.033333333333333326,0.07272727272727274,0.012361111111111107,0.11999999999999995,0.16875000000000007,0.07819429147702392,0.16666666666666666,0.5
AG9LWKO86TNHG,Traveler,48,Female,Left,College,a4,1,6,5,0.25,0.5,0.35,0.1,0.05,Non-Solver,0.25,0.31666666666666665,0.0,0.08819444444444444,-0.28,-0.390909090909091,0.3468584905660377,-0.28,0.05
AHYTT3T8W9Y9Y,Traveler,37,Female,Right,College,a2,1,8,6,0.6,0.3,0.3,0.25,0.15,Solver,0.225,0.2333333333333333,0.0,0.051527777777777777,-0.28,-0.23124999999999996,0.2378336162988116,-0.03333333333333338,0.3
