Problem,Worker ID,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,1 mile,2 miles,3 miles,4 miles,5 miles,6 miles,7 miles,8 miles,9 miles,10 miles,11 miles,12 miles,Class
ThreeRobots,18,17,Male,Right,High School/GED,9 miles,3,7,8,10 %,0 %,0 %,10 %,5 %,0 %,35 %,0 %,15 %,10 %,5 %,0 %,20 %,Non-Solver
ThreeRobots,17,29,Male,Right,College,10 miles,3,9,9,15 %,0 %,0 %,0 %,10 %,20 %,15 %,5 %,15 %,10 %,20 %,0 %,5 %,Solver
ThreeRobots,16,22,Female,Right,College,6 miles,1,7,7,40 %,5 %,5 %,10 %,5 %,5 %,30 %,5 %,5 %,5 %,5 %,5 %,15 %,Non-Solver
ThreeRobots,15,25,Male,Right,Graduate Degree,7 miles,1,9,8,5 %,5 %,5 %,10 %,10 %,5 %,5 %,15 %,15 %,5 %,5 %,15 %,5 %,Non-Solver
ThreeRobots,14,26,Male,Right,College,10 miles,9,2,3,70 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,5 %,10 %,70 %,10 %,5 %,Solver
ThreeRobots,13,27,Male,Right,Graduate Degree,10 miles,10,2,5,85 %,0 %,0 %,0 %,0 %,5 %,0 %,0 %,0 %,5 %,85 %,5 %,0 %,Solver
ThreeRobots,12,25,Female,Right,Graduate Degree,10 miles,10,2,4,90 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,10 %,80 %,10 %,0 %,Solver
ThreeRobots,11,28,Male,Right,Graduate Degree,10 miles,6,3,6,80 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,85 %,5 %,5 %,5 %,0 %,Solver
ThreeRobots,10,29,Male,Right,High School/GED,10 miles,3,6,7,30 %,0 %,0 %,5 %,5 %,5 %,20 %,10 %,10 %,10 %,30 %,5 %,0 %,Solver
ThreeRobots,9,36,Male,Right,Graduate Degree,10 miles,10,1,5,50 %,0 %,0 %,0 %,0 %,0 %,10 %,10 %,10 %,10 %,50 %,5 %,5 %,Solver
ThreeRobots,8,26,Female,Right,College,7 miles,1,9,9,20 %,10 %,10 %,10 %,10 %,10 %,5 %,5 %,10 %,10 %,10 %,5 %,5 %,Non-Solver
ThreeRobots,7,35,Female,Left,Graduate Degree,10 miles,10,8,9,25 %,0 %,0 %,0 %,5 %,10 %,10 %,5 %,10 %,5 %,40 %,5 %,10 %,Solver
ThreeRobots,6,60,Male,Right,Graduate Degree,10 miles,10,2,5,60 %,0 %,0 %,0 %,0 %,25 %,15 %,0 %,0 %,0 %,60 %,0 %,0 %,Solver
ThreeRobots,5,39,Female,Right,Graduate Degree,10 miles,4,5,8,60 %,0 %,0 %,10 %,0 %,10 %,10 %,0 %,0 %,5 %,60 %,5 %,0 %,Solver
ThreeRobots,4,62,Female,Right,Graduate Degree,10 miles,10,2,6,80 %,0 %,0 %,0 %,0 %,20 %,0 %,0 %,0 %,0 %,80 %,0 %,0 %,Solver
ThreeRobots,3,29,Female,Right,Graduate Degree,7 miles,1,10,8,35 %,0 %,10 %,10 %,10 %,10 %,15 %,0 %,5 %,10 %,10 %,10 %,10 %,Non-Solver
ThreeRobots,2,28,Female,Right,Graduate Degree,6 miles,1,10,5,50 %,5 %,5 %,10 %,10 %,10 %,10 %,10 %,10 %,10 %,10 %,5 %,5 %,Non-Solver
ThreeRobots,1,33,Male,Right,Graduate Degree,10 miles,10,2,5,45 %,0 %,0 %,0 %,0 %,0 %,10 %,0 %,10 %,5 %,45 %,15 %,15 %,Solver
ThreeRobots,A2WHC086WNUQNB,53,Female,Right,College,5 miles,1,8,5,70 %,10 %,10 %,20 %,10 %,20 %,10 %,5 %,5 %,5 %,5 %,0 %,0 %,Non-Solver
ThreeRobots,AMZV70TID53WY,26,Male,Right,College,7 miles,1,7,8,30 %,10 %,10 %,0 %,15 %,0 %,10 %,0 %,15 %,0 %,20 %,0 %,20 %,Non-Solver
ThreeRobots,A147F5PJTHOB8A,42,Male,Right,High School/GED,3 miles,1,10,8,10 %,15 %,20 %,10 %,20 %,15 %,5 %,5 %,5 %,5 %,0 %,0 %,0 %,Non-Solver
ThreeRobots,A1NZFJHVJ9CNTO,29,Male,Right,High School/GED,3 miles,7,5,5,70 %,0 %,0 %,75 %,0 %,0 %,0 %,0 %,0 %,10 %,5 %,10 %,0 %,Non-Solver
ThreeRobots,AO46MWFKLP3ZN,30,Male,Right,Graduate Degree,6 miles,5,1,4,40 %,10 %,10 %,10 %,5 %,5 %,10 %,10 %,10 %,5 %,5 %,10 %,10 %,Non-Solver
ThreeRobots,A39YK8LJ8O37OY,33,Female,Right,Graduate Degree,4 miles,2,1,1,10 %,5 %,5 %,5 %,5 %,5 %,10 %,10 %,15 %,15 %,15 %,5 %,5 %,Non-Solver
ThreeRobots,AKF2CET7H6C5X,32,Male,Right,Graduate Degree,6 miles,5,5,6,75 %,5 %,5 %,5 %,5 %,5 %,15 %,10 %,15 %,10 %,10 %,10 %,5 %,Non-Solver
ThreeRobots,A53WVYONK6B9Q,26,Male,Right,High School/GED,4 miles,4,5,3,5 %,10 %,10 %,5 %,10 %,5 %,25 %,5 %,5 %,10 %,10 %,5 %,0 %,Non-Solver
ThreeRobots,AMELYCC59JKB0,37,Female,Right,College,10 miles,1,9,8,30 %,10 %,10 %,15 %,10 %,5 %,5 %,5 %,10 %,10 %,10 %,5 %,5 %,Solver
ThreeRobots,A8FCVU1TTDVL0,40,Female,Right,College,5 miles,3,7,8,20 %,0 %,0 %,0 %,0 %,50 %,0 %,0 %,0 %,0 %,0 %,0 %,50 %,Non-Solver
ThreeRobots,A198MSVO1VTAT5,60,Female,Right,College,10 miles,8,1,1,30 %,10 %,10 %,10 %,5 %,0 %,0 %,5 %,5 %,5 %,40 %,5 %,5 %,Solver
ThreeRobots,A2QUQ0S2F6K3QJ,63,Female,Right,High School/GED,5 miles,1,8,7,20 %,0 %,0 %,15 %,10 %,35 %,10 %,10 %,10 %,5 %,5 %,0 %,0 %,Non-Solver
ThreeRobots,A2EI9E6EBZEZO1,38,Female,Right,College,6 miles,1,10,10,10 %,5 %,5 %,5 %,15 %,20 %,35 %,5 %,5 %,5 %,0 %,0 %,0 %,Non-Solver
ThreeRobots,APS21FRK7TBKW,47,Female,Right,College,2 miles,1,4,5,15 %,10 %,10 %,5 %,10 %,10 %,10 %,10 %,10 %,5 %,5 %,5 %,10 %,Non-Solver
ThreeRobots,A2IQ0QCTQ3KWLT,48,Female,Right,High School/GED,3 miles,1,8,7,60 %,100 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,Non-Solver
