Problem,Worker ID,Age,Gender,Strong hand,Education,Answer,Confidence,Psolve,1 second,1000 seconds,1 minute,1000 minutes,1 hour,1000 hours,2000 hours,1000000 hours,Infinity,There is no way to know without additional information,Class
CR_Conf,A002160837SWJFPIAI7L7,25,Male,Right,College,1000 hours,1,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,0-10%,11-20%,11-20%,Non-Solver
CR_Conf,A102UPOA52HS8M,20,Female,Right,High School/GED,1000 minutes,2,0-10%,0-10%,21-30%,41-50%,11-20%,0-10%,31-40%,61-70%,31-40%,81-90%,61-70%,Non-Solver
CR_Conf,A10443E11ZWEHJ,52,Male,Right,High School/GED,There is no way to know without additional information,8,21-30%,0-10%,0-10%,0-10%,21-30%,11-20%,31-40%,41-50%,51-60%,61-70%,71-80%,Non-Solver
CR_Conf,A10NI1QOGWX2YB,36,Female,Right,High School/GED,There is no way to know without additional information,9,11-20%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,21-30%,21-30%,Non-Solver
CR_Conf,A10ZC6OYXCN1DT,44,Male,Right,Graduate Degree,1 hour,9,61-70%,11-20%,21-30%,11-20%,21-30%,21-30%,61-70%,41-50%,41-50%,41-50%,11-20%,Solver
CR_Conf,A117NSQB727D1H,62,Female,Right,High School/GED,1 hour,4,31-40%,0-10%,0-10%,0-10%,0-10%,21-30%,0-10%,0-10%,0-10%,21-30%,21-30%,Solver
CR_Conf,A11BLQKVW1951L,33,Female,Right,College,1 hour,9,61-70%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,91-100%,0-10%,Solver
CR_Conf,A11DLGQTOOSIWR,63,Male,Right,Graduate Degree,1 hour,8,41-50%,0-10%,0-10%,0-10%,11-20%,51-60%,11-20%,0-10%,0-10%,0-10%,0-10%,Solver
CR_Conf,A12ABRH7TAD6ZJ,48,Male,Right,Graduate Degree,1000 minutes,7,41-50%,0-10%,0-10%,61-70%,71-80%,41-50%,41-50%,61-70%,61-70%,51-60%,51-60%,Non-Solver
CR_Conf,A12HWPFXQPITHD,28,Male,Right,College,There is no way to know without additional information,7,71-80%,0-10%,11-20%,11-20%,21-30%,11-20%,41-50%,51-60%,31-40%,71-80%,81-90%,Non-Solver
CR_Conf,A12IHTKQFQIPD1,35,Male,Right,High School/GED,1 minute,5,21-30%,11-20%,11-20%,11-20%,11-20%,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A12MVC9R26VPZ4,28,Male,Right,Graduate Degree,1000 seconds,5,11-20%,11-20%,31-40%,51-60%,51-60%,61-70%,51-60%,61-70%,51-60%,61-70%,61-70%,Non-Solver
