Problem,Worker ID,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,"BFRP, AUIE, GNDC","BFGP, AUIE, RNDC","AERP, BGCD, FUIN","CNRP, AGDS, EIOT","BNPR, ACDF, EIUG","ANPR, BCDF, EIUG",Class
LettersDice,18,17,Male,Right,High School/GED,"BNPR, ACDF, EIUG",10,4,6,0.4,0.1,0.2,0.15,0.05,0.4,0.1,Solver
LettersDice,17,29,Male,Right,College,"BNPR, ACDF, EIUG",10,4,5,0.7,0,0.05,0.15,0.05,0.7,0.05,Solver
LettersDice,16,22,Female,Right,College,"BNPR, ACDF, EIUG",10,1,1,0.85,0,0,0,0,1,0,Solver
LettersDice,15,25,Male,Right,Graduate Degree,"BNPR, ACDF, EIUG",1,3,7,0.05,0.15,0.15,0.15,0.15,0.2,0.2,Solver
LettersDice,14,26,Male,Right,College,"BNPR, ACDF, EIUG",5,4,7,0.7,0.3,0,0,0,0.7,0,Solver
LettersDice,13,27,Male,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,5,8,0.5,0.2,0.05,0.05,0.05,0.5,0.15,Solver
LettersDice,12,25,Female,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,6,7,0.8,0.1,0.1,0.1,0.1,0.5,0.1,Solver
LettersDice,11,28,Male,Right,Graduate Degree,"ANPR, BCDF, EIUG",10,1,5,1,0,0,0,0,0,1,Non-Solver
LettersDice,10,29,Male,Right,High School/GED,"BNPR, ACDF, EIUG",10,2,4,0.6,0.2,0,0,0,0.6,0.2,Solver
LettersDice,9,36,Male,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,1,5,0.6,0.3,0.05,0.05,0.05,0.5,0.05,Solver
LettersDice,8,26,Female,Right,College,"AERP, BGCD, FUIN",1,9,8,0.15,0.15,0.1,0.15,0.2,0.2,0.2,Non-Solver
LettersDice,7,35,Female,Left,Graduate Degree,"BNPR, ACDF, EIUG",10,2,5,0.5,0.1,0.1,0.1,0.1,0.5,0.1,Solver
LettersDice,6,60,Male,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,2,3,0.6,0.05,0.05,0.1,0.1,0.6,0.1,Solver
LettersDice,5,39,Female,Right,Graduate Degree,"BFRP, AUIE, GNDC",6,8,8,0.4,0.3,0.25,0.15,0.1,0.15,0.05,Non-Solver
LettersDice,4,62,Female,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,4,6,0.8,0,0,0,0.2,0.8,0,Solver
LettersDice,3,29,Female,Right,Graduate Degree,"BFRP, AUIE, GNDC",1,2,3,0.3,0.2,0.2,0.1,0.1,0.2,0.2,Non-Solver
LettersDice,2,28,Female,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,3,2,0.75,0.05,0.05,0.05,0.05,0.75,0.05,Solver
LettersDice,1,33,Male,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,3,4,0.75,0.05,0.05,0.05,0.05,0.75,0.05,Solver
LettersDice,A2WHC086WNUQNB,53,Female,Right,College,"AERP, BGCD, FUIN",1,10,10,0.1,0.2,0.2,0.2,0.2,0.1,0.1,Non-Solver
LettersDice,AMZV70TID53WY,26,Male,Right,College,"BFRP, AUIE, GNDC",3,4,4,0.4,0.25,0.25,0.15,0.15,0.15,0.05,Non-Solver
