Problem,Worker ID,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,1,2,3,4,8,10,16,60,Class
MagicPotion,18,17,Male,Right,High School/GED,8,5,4,6,0.4,0.05,0,0,0.1,0.25,0.1,0.3,0.2,Non-Solver
MagicPotion,17,29,Male,Right,College,3,6,9,10,0.2,0,0.1,0.2,0.35,0.35,0,0,0,Solver
MagicPotion,16,22,Female,Right,College,8,3,5,5,0.6,0.15,0,0.05,0.1,0.6,0.05,0.05,0,Non-Solver
MagicPotion,15,25,Male,Right,Graduate Degree,8,1,7,7,0.1,0.05,0.05,0.05,0.05,0.45,0.05,0.05,0.25,Non-Solver
MagicPotion,14,26,Male,Right,College,3,5,7,6,0.4,0.05,0.05,0.4,0.25,0.25,0,0,0,Solver
MagicPotion,13,27,Male,Right,Graduate Degree,3,10,7,10,0.2,0,0.05,0.2,0.4,0.35,0,0,0,Solver
MagicPotion,12,25,Female,Right,Graduate Degree,4,1,10,10,0.1,0,0.1,0.15,0.35,0.4,0,0,0,Non-Solver
MagicPotion,11,28,Male,Right,Graduate Degree,8,10,1,2,1,0,0,0,0,1,0,0,0,Non-Solver
MagicPotion,10,29,Male,Right,High School/GED,8,3,6,7,0.3,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,Non-Solver
MagicPotion,9,36,Male,Right,Graduate Degree,4,1,10,10,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,Non-Solver
MagicPotion,8,26,Female,Right,College,8,1,6,6,0.2,0,0,0,0,0.35,0.15,0.2,0.3,Non-Solver
MagicPotion,7,35,Female,Left,Graduate Degree,8,6,3,4,0.7,0.2,0,0,0.1,0.7,0,0,0,Non-Solver
MagicPotion,6,60,Male,Right,Graduate Degree,3,10,3,6,0.5,0,0,0.5,0.3,0.2,0,0,0,Solver
MagicPotion,5,39,Female,Right,Graduate Degree,4,10,7,6,0.5,0,0,0.15,0.5,0.3,0.05,0,0,Non-Solver
MagicPotion,4,62,Female,Right,Graduate Degree,8,10,2,2,0.8,0,0,0,0,0.8,0.2,0,0,Non-Solver
MagicPotion,3,29,Female,Right,Graduate Degree,4,4,8,6,0.4,0.25,0.05,0.05,0.05,0.5,0.05,0.05,0,Non-Solver
MagicPotion,2,28,Female,Right,Graduate Degree,8,8,5,2,0.5,0.2,0.1,0,0,0.5,0,0.2,0,Non-Solver
MagicPotion,1,33,Male,Right,Graduate Degree,8,4,7,5,0.2,0.05,0.05,0.05,0.2,0.4,0.05,0.2,0,Non-Solver
MagicPotion,A2WHC086WNUQNB,53,Female,Right,College,8,5,4,5,0.7,0,0.1,0.1,0.1,0.5,0.1,0.1,0,Non-Solver
MagicPotion,AMZV70TID53WY,26,Male,Right,College,8,10,1,2,0.9,0,0,0,0,0.9,0.1,0,0,Non-Solver
