Problem,Worker ID,Answer,box1,box2,box3,box4,box5,box6,Subjective Difficulty,Objective Difficutly,Class
SOKO2BOX,0d4M8n7RA,box3,0,0.1,0.75,0.15,0,0,6,6,Non-Solver
SOKO2BOX,0f3I6a0RA,box1,0.9,0.1,0,0,0,0,10,10,Solver
SOKO2BOX,0I8c7G9EA,box3,0.2,0.2,0.45,0.11,0.01,0.03,8,9,Non-Solver
SOKO2BOX,0J1l2A6RA,box2,0.1,0.7,0.2,0,0,0,9,9,Non-Solver
SOKO2BOX,0u5E2D3WA,box2,0.1,0.8,0.1,0,0,0,10,10,Non-Solver
SOKO2BOX,1G1x3J1pA,box1,0,0.8,0,0.2,0,0,8,7,Solver
SOKO2BOX,1q7I3h0rA,box1,0.5,0.1,0.1,0.1,0.1,0.1,10,6,Solver
SOKO2BOX,1T1U4P6mA,box3,0.1,0.3,0.5,0.1,0,0,8,6,Non-Solver
SOKO2BOX,2N4t6G6sA,box1,0.7,0,0.15,0,0,0.15,10,10,Solver
SOKO2BOX,2p2z3A0zA,box3,0.05,0.05,0.8,0,0.05,0.05,7,9,Non-Solver
SOKO2BOX,2p3c6s8CA,box3,0.1,0.15,0.15,0.3,0.1,0.2,7,6,Non-Solver
SOKO2BOX,2Q0A5r8dA,box1,0.3,0,0.05,0.3,0.3,0.05,2,2,Solver
SOKO2BOX,2q9I6W6qA,box1,0.05,0.3,0.2,0.05,0.2,0.2,10,7,Solver
SOKO2BOX,2U6v9I8wA,box5,0.1,0.2,0.2,0.2,0.2,0.1,8,7,Non-Solver
SOKO2BOX,2V4a9k6xA,box5,0,0,0,0,1,0,10,10,Non-Solver
SOKO2BOX,3b7s4m3MA,box5,0,0.25,0,0,0.75,0,2,2,Non-Solver
SOKO2BOX,3D2e2a8zA,box1,0.25,0.15,0.25,0.15,0.05,0.15,10,10,Solver
SOKO2BOX,3E3T4B9zA,box3,0.1,0.2,0.6,0,0,0.1,10,10,Non-Solver
SOKO2BOX,3i8g0v8jA,box3,0.1,0.2,0.5,0.1,0.05,0.05,10,10,Non-Solver
SOKO2BOX,3K7p2H1LA,box1,0.3,0.2,0.2,0.1,0.15,0.05,8,10,Solver
SOKO2BOX,3l3p0e8OA,box1,1,0,0,0,0,0,8,8,Solver
SOKO2BOX,3m2u8i3WA,box2,0.1,0.7,0.1,0,0.1,0,10,10,Non-Solver
SOKO2BOX,3M4M7J5PA,box3,0.1,0.3,0,0.6,0,0,9,7,Non-Solver
SOKO2BOX,3w5V8K3rA,box5,0.1,0,0.2,0.7,0,0,10,10,Non-Solver
SOKO2BOX,3x3U2s8jA,box4,0,0.2,0,0.8,0,0,8,5,Non-Solver
SOKO2BOX,4a7u2u4JA,box5,0.2,0.1,0.1,0.2,0.2,0.2,6,6,Non-Solver
SOKO2BOX,4G8M3K4PA,box4,0,0.1,0,0.9,0,0,5,6,Non-Solver
SOKO2BOX,4j6Q7y7UA,box3,0.2,0.2,0.1,0.1,0.2,0.2,10,6,Non-Solver
SOKO2BOX,4n9J6i0rA,box1,0.75,0.25,0,0,0,0,10,9,Solver
SOKO2BOX,4r6p5l1RA,box3,0,0,1,0,0,0,8,8,Non-Solver
SOKO2BOX,5b8N4l3DA,box3,0.1,0.3,0.4,0,0,0.2,8,10,Non-Solver
SOKO2BOX,5o6A2P4pA,box2,0,0.5,0,0.5,0,0,5,5,Non-Solver
SOKO2BOX,5q8V1F1CA,box3,0.2,0.2,0.2,0,0.2,0.2,7,6,Non-Solver
SOKO2BOX,5s4t9G2KA,box1,0.75,0.25,0,0,0,0,8,7,Solver
SOKO2BOX,5S7d2U0KA,box5,0.05,0.45,0.15,0.15,0.1,0.1,9,9,Non-Solver
