Problem,Worker ID,Answer,MM1,MM2,MM3,MM4,MM5,Subjective Difficulty,Objective Difficutly,Class
SOKOMM,0d4M8n7RA,MM3,0,0.05,0.75,0.2,0,6,6,Solver
SOKOMM,0f3I6a0RA,MM4,0,0.1,0.4,0.4,0.1,10,10,Non-Solver
SOKOMM,0I8c7G9EA,MM4,0.04,0.08,0.8,0.06,0.02,8,9,Non-Solver
SOKOMM,0J1l2A6RA,MM5,0,0.3,0.5,0.2,0,9,9,Non-Solver
SOKOMM,0u5E2D3WA,MM4,0.05,0.3,0.5,0.1,0.05,10,10,Non-Solver
SOKOMM,1G1x3J1pA,MM3,0,0.05,0.5,0.3,0.15,8,7,Solver
SOKOMM,1q7I3h0rA,MM3,0.1,0.7,0.1,0.1,0,10,6,Solver
SOKOMM,1T1U4P6mA,MM2,0.1,0.3,0.4,0.1,0.1,8,6,Non-Solver
SOKOMM,2N4t6G6sA,MM3,0,0.1,0.8,0.1,0,10,10,Solver
SOKOMM,2p2z3A0zA,MM4,0,0,0.2,0.8,0,7,9,Non-Solver
SOKOMM,2p3c6s8CA,MM4,0.05,0.1,0.1,0.25,0.5,7,6,Non-Solver
SOKOMM,2Q0A5r8dA,MM2,0.03,0.6,0.35,0.01,0.01,2,2,Non-Solver
SOKOMM,2q9I6W6qA,MM3,0.1,0.2,0.1,0.3,0.3,10,7,Solver
SOKOMM,2U6v9I8wA,MM2,0.05,0.1,0.35,0.35,0.15,8,7,Non-Solver
SOKOMM,2V4a9k6xA,MM4,0,0,0,1,0,10,10,Non-Solver
SOKOMM,3b7s4m3MA,MM1,0.4,0.2,0.15,0.15,0.1,2,2,Non-Solver
SOKOMM,3D2e2a8zA,MM2,0.04,0.6,0.2,0.13,0.03,10,10,Non-Solver
SOKOMM,3E3T4B9zA,MM4,0,0.2,0.7,0.1,0,10,10,Non-Solver
SOKOMM,3i8g0v8jA,MM3,0,0.15,0.1,0.45,0.3,10,10,Solver
SOKOMM,3K7p2H1LA,MM4,0.1,0.2,0.5,0.1,0.1,8,10,Non-Solver
SOKOMM,3l3p0e8OA,MM4,0,0.1,0.4,0.5,0,8,8,Non-Solver
SOKOMM,3m2u8i3WA,MM5,0.1,0.1,0.1,0.4,0.3,10,10,Non-Solver
SOKOMM,3M4M7J5PA,MM3,0.1,0.2,0.5,0.2,0.1,9,7,Solver
SOKOMM,3w5V8K3rA,MM3,0,0.2,0.7,0.1,0,10,10,Solver
SOKOMM,3x3U2s8jA,MM4,0,0,0,0.8,0.2,8,5,Non-Solver
SOKOMM,4a7u2u4JA,MM3,0.2,0.1,0.3,0.2,0.2,6,6,Solver
SOKOMM,4G8M3K4PA,MM3,0,0.3,0.6,0.1,0,5,6,Solver
SOKOMM,4j6Q7y7UA,MM4,0.1,0.3,0.2,0.2,0.2,10,6,Non-Solver
SOKOMM,4n9J6i0rA,MM3,0,0.2,0.5,0.25,0.05,10,9,Solver
SOKOMM,4r6p5l1RA,MM4,0,0,0,0.4,0.6,8,8,Non-Solver
SOKOMM,5b8N4l3DA,MM4,0,0,0.4,0.6,0,8,10,Non-Solver
SOKOMM,5o6A2P4pA,MM3,0,0.02,0.8,0.1,0.08,5,5,Solver
SOKOMM,5q8V1F1CA,MM3,0,0.4,0.5,0.1,0,7,6,Solver
SOKOMM,5s4t9G2KA,MM3,0,0.25,0.75,0,0,8,7,Solver
SOKOMM,5S7d2U0KA,MM3,0.05,0.1,0.6,0.1,0.15,9,9,Solver
SOKOMM,5T7W2L0rA,MM4,0,0.2,0.7,0.1,0,7,7,Non-Solver
SOKOMM,5W8p9y5xA,MM3,0.05,0.2,0.5,0.2,0.05,5,5,Solver
SOKOMM,5x3s1s5jA,MM3,0.1,0.2,0.2,0.2,0.1,8,5,Solver
SOKOMM,6d3H1k4TA,MM2,0.25,0.25,0.2,0.2,0.1,9,7,Non-Solver
SOKOMM,6e1y2T7sA,MM3,0,0.1,0.8,0.1,0,6,9,Solver
SOKOMM,6G4A6Q8dA,MM4,0.05,0.1,0.6,0.2,0.05,10,8,Non-Solver
SOKOMM,6m1u7I8rA,MM4,0,0,0.4,0.6,0,9,9,Non-Solver
SOKOMM,6w7f9W4lA,MM4,0,0,0.8,0.2,0,10,10,Non-Solver
SOKOMM,7a1c4m5yA,MM2,0,0.3,0.7,0,0,8,7,Non-Solver
SOKOMM,7h3i0l1TA,MM4,0,0.4,0.6,0,0,6,9,Non-Solver
SOKOMM,7I0Q5S9MA,MM3,0,0,0.25,0.5,0.25,8,10,Solver
SOKOMM,7V9r2o0wA,MM4,0,0,0.6,0.4,0,9,9,Non-Solver
SOKOMM,7y5Q0H9kA,MM4,0,0.2,0.6,0.2,0,8,8,Non-Solver
SOKOMM,7z5I5J9uA,MM3,0.1,0.3,0.4,0.15,0.05,7,6,Solver
SOKOMM,8g1R6j5SA,MM3,0.02,0.2,0.68,0.1,0,5,4,Solver
SOKOMM,8h8W3a2xA,MM4,0,0,0,1,0,5,5,Non-Solver
SOKOMM,8I8L0H8FA,MM3,0.05,0.2,0.5,0.2,0.05,7,5,Solver
SOKOMM,8K2O8F0mA,MM4,0.25,0.2,0.15,0.3,0.1,4,5,Non-Solver
SOKOMM,8N0d4c1CA,MM4,0.1,0.5,0.2,0.1,0.1,7,7,Non-Solver
SOKOMM,8N2G3F4qA,MM3,0,0,0.7,0.2,0.1,5,5,Solver
SOKOMM,8R0F4z2qA,MM3,0,0.2,0.7,0.05,0.05,10,10,Solver
SOKOMM,8T8K5b4WA,MM4,0.5,0.3,0.2,0,0,10,10,Non-Solver
SOKOMM,9A5x2H4OA,MM4,0,0,0.1,0.3,0.6,5,5,Non-Solver
SOKOMM,9B6A4L4kA,MM3,0.1,0.2,0.5,0.1,0.1,7,5,Solver
SOKOMM,9g2F0C6bA,MM4,0,0,0,1,0,9,8,Non-Solver
SOKOMM,9k7E9M9MA,MM3,0,0.2,0.5,0.2,0.1,2,4,Solver
SOKOMM,9l0Q7V6uA,MM4,0,0,0.2,0.2,0.6,10,10,Non-Solver
SOKOMM,9t8H3y5nA,MM4,0.05,0.1,0.5,0.25,0.1,5,5,Non-Solver
SOKOMM,9W6B0U8CA,MM5,0,0,0,1,0,9,8,Non-Solver
SOKOMM,9W9O3l3hA,MM3,0,0,0.75,0.2,0.05,7,7,Solver
