Problem,Worker ID,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,a1,a2,a3,a4,Class
Traveler,18,17,Male,Right,High School/GED,a4,8,2,3,0.75,0.3,0.25,0.1,0.35,Non-Solver
Traveler,17,29,Male,Right,College,a4,8,3,5,0.6,0.15,0.25,0.05,0.55,Non-Solver
Traveler,16,22,Female,Right,College,a1,5,6,6,0.35,0.5,0.1,0.3,0.1,Non-Solver
Traveler,15,25,Male,Right,Graduate Degree,a2,10,1,7,0.25,0.3,0.25,0.2,0.25,Solver
Traveler,14,26,Male,Right,College,a2,8,6,3,0.65,0.1,0.6,0,0.3,Solver
Traveler,13,27,Male,Right,Graduate Degree,a4,10,7,9,0.3,0.05,0.4,0.25,0.3,Non-Solver
Traveler,12,25,Female,Right,Graduate Degree,a4,6,6,8,0.45,0.1,0.3,0.15,0.45,Non-Solver
Traveler,11,28,Male,Right,Graduate Degree,a4,10,1,4,0.9,0.05,0.05,0,0.9,Non-Solver
Traveler,10,29,Male,Right,High School/GED,a4,6,3,5,0.5,0.1,0.3,0.1,0.5,Non-Solver
Traveler,9,36,Male,Right,Graduate Degree,a4,10,6,9,0.5,0.25,0.25,0.2,0.3,Non-Solver
Traveler,8,26,Female,Right,College,a2,2,8,7,0.4,0.4,0.4,0.1,0.1,Solver
Traveler,7,35,Female,Left,Graduate Degree,a4,6,5,5,0.6,0.05,0.25,0.1,0.6,Non-Solver
Traveler,6,60,Male,Right,Graduate Degree,a2,10,2,5,0.75,0.05,0.75,0.05,0.15,Solver
Traveler,5,39,Female,Right,Graduate Degree,a4,1,10,8,0.1,0.05,0.6,0.05,0.3,Non-Solver
Traveler,4,62,Female,Right,Graduate Degree,a2,3,4,7,0.25,0.3,0.25,0.2,0.25,Solver
Traveler,3,29,Female,Right,Graduate Degree,a3,5,8,7,0.7,0,0.25,0.7,0.05,Non-Solver
Traveler,2,28,Female,Right,Graduate Degree,a2,8,6,2,0.5,0.2,0.4,0.2,0.2,Solver
Traveler,1,33,Male,Right,Graduate Degree,a2,9,7,9,0.4,0.05,0.4,0.1,0.45,Solver
